,Name,Country,Industry,Market_Cap,SuppPercRev,SuppPerCost
76,Panasonic Corp,JP,Consumer Durables & Apparel,33470.0,0.0038,0.00182
78,Synaptics Inc,US,Semiconductors & Semiconduct,3080.0,0.18,0.00175
79,Skyworks Solutions In,US,Semiconductors & Semiconduct,19860.0,0.0904,0.00175
80,Kyocera Corp,JP,Technology Hardware & Equipm,19470.0,0.017,0.00175
82,Cheng Uei Precision I,TW,Technology Hardware & Equipm,915.0,0.0904,0.00168
83,AngloGold Ashanti Ltd,ZA,Materials,3490.0,0.0484,0.00168
81,Viacom Inc,US,Media,25660.0,0.0158,0.00168
84,TTM Technologies Inc,US,Technology Hardware & Equipm,983.0,0.21,0.00161
85,Zhongjin Gold Corp Lt,CN,Materials,5070.0,0.0465,0.00161
87,Zijin Mining Group Co,CN,Materials,13430.0,0.0259,0.00147
86,Sumitomo Electric Ind,JP,Automobiles & Components,12260.0,0.0086,0.00147
88,Infineon Technologie,DE,Semiconductors & Semiconduct,14260.0,0.0341,0.0014
89,EI du Pont de Nemour,US,Materials,55610.0,0.0075,0.0014
93,Knowles Corp,US,Technology Hardware & Equipm,1580.0,0.2,0.00133
91,Unimicron Technology,TW,Technology Hardware & Equipm,814.0,0.0904,0.00133
90,Coretronic Corp,TW,Technology Hardware & Equipm,618.0,0.07,0.00133
92,Hitachi Ltd,JP,Technology Hardware & Equipm,31400.0,0.0022,0.00133
94,Gree Inc,JP,Software & Services,1380.0,0.168,0.00126
97,Simplo Technology Co,TW,Technology Hardware & Equipm,1430.0,0.0904,0.00126
96,Avago Technologies L,SG,Semiconductors & Semiconduct,35190.0,0.0502,0.00126
95,Marvell Technology G,BM,Semiconductors & Semiconduct,6880.0,0.0484,0.00126
98,COLOPL Inc,JP,Software & Services,2520.0,0.37,0.00119
99,Taiyo Yuden Co Ltd,JP,Technology Hardware & Equipm,1680.0,0.0834,0.00112
100,ON Semiconductor Cor,US,Semiconductors & Semiconduct,4970.0,0.0484,0.00105
