,Name,Country,Industry,Market_Cap,SuppPercRev,SuppPerCost,Country2,Latitude,Longitude
74,Minebea Co Ltd,JP,Capital Goods,6670,0.0618,0.00189,Japan,35.69,139.69
26,Western Digital Corp,US,Technology Hardware & Equipm,18340,0.057,0.00602,United States of America,38.9,-77.04
20,Eaton Corp PLC,US,Capital Goods,31590,0.0557,0.00854,United States of America,38.9,-77.04
55,Renesas Electronics C,JP,Semiconductors & Semiconduct,11560,0.0526,0.0028,Japan,35.69,139.69
29,Flextronics Internatio,US,Technology Hardware & Equipm,6380,0.0522,0.00574,United States of America,38.9,-77.04
40,RR Donnelley & Sons C,US,Commercial & Professional Ser,3640,0.0503,0.00399,United States of America,38.9,-77.04
96,Avago Technologies L,SG,Semiconductors & Semiconduct,35190,0.0502,0.00126,Singapore,1.29,103.85
61,Newmont Mining Corp,US,Materials,12240,0.0484,0.00224,United States of America,38.9,-77.04
95,Marvell Technology G,BM,Semiconductors & Semiconduct,6880,0.0484,0.00126,Bermuda,32.29,-64.78
100,ON Semiconductor Cor,US,Semiconductors & Semiconduct,4970,0.0484,0.00105,United States of America,38.9,-77.04
83,AngloGold Ashanti Ltd,ZA,Materials,3490,0.0484,0.00168,South Africa,-25.74,28.19
34,SYNNEX Corp,US,Technology Hardware & Equipm,2920,0.0484,0.00462,United States of America,38.9,-77.04
67,LG Innotek Co Ltd,KR,Technology Hardware & Equipm,2210,0.0484,0.0021,Korea (Republic of),37.57,126.98
65,Alps Electric Co Ltd,JP,Technology Hardware & Equipm,5650,0.0474,0.00217,Japan,35.69,139.69
85,Zhongjin Gold Corp Lt,CN,Materials,5070,0.0465,0.00161,China,39.91,116.4
33,Asustek Computer Inc,TW,Technology Hardware & Equipm,7210,0.0434,0.00483,"Taiwan, Province of China",25.05,121.53
31,Quanta Computer Inc,TW,Technology Hardware & Equipm,9000,0.0394,0.00525,"Taiwan, Province of China",25.05,121.53
72,STMicroelectronics NV,CH,Semiconductors & Semiconduct,7420,0.0383,0.00189,Switzerland,46.95,7.45
60,Grupo Mexico SAB de ,MX,Materials,22940,0.0371,0.00231,Mexico,19.43,-99.13
59,Corning Inc,US,Technology Hardware & Equipm,24920,0.0361,0.00245,United States of America,38.9,-77.04
41,Aurubis AG,DE,Materials,2670,0.0361,0.00371,Germany,52.52,13.41
88,Infineon Technologie,DE,Semiconductors & Semiconduct,14260,0.0341,0.0014,Germany,52.52,13.41
63,TDK Corp,JP,Technology Hardware & Equipm,9790,0.0312,0.00224,Japan,35.69,139.69
54,Innolux Corp,TW,Technology Hardware & Equipm,5100,0.028,0.0028,"Taiwan, Province of China",25.05,121.53
75,LS Corp,KR,Capital Goods,1210,0.0264,0.00189,Korea (Republic of),37.57,126.98
87,Zijin Mining Group Co,CN,Materials,13430,0.0259,0.00147,China,39.91,116.4
13,Toshiba Corp,JP,Capital Goods,14330,0.0232,0.01022,Japan,35.69,139.69
73,TE Connectivity Ltd,CH,Technology Hardware & Equipm,26160,0.0197,0.00189,Switzerland,46.95,7.45
16,Sony Corp,JP,Consumer Durables & Apparel,33300,0.0191,0.00938,Japan,35.69,139.69
53,Emerson Electric Co,US,Capital Goods,37060,0.0176,0.00294,United States of America,38.9,-77.04
80,Kyocera Corp,JP,Technology Hardware & Equipm,19470,0.017,0.00175,Japan,35.69,139.69
46,3M Co,US,Capital Goods,98740,0.0164,0.00357,United States of America,38.9,-77.04
81,Viacom Inc,US,Media,25660,0.0158,0.00168,United States of America,38.9,-77.04
62,Sumitomo Chemical C,JP,Materials,9960,0.0153,0.00224,Japan,35.69,139.69
64,NEC Corp,JP,Technology Hardware & Equipm,7910,0.0119,0.00224,Japan,35.69,139.69
77,Koninklijke Philips NV,NL,Capital Goods,24600,0.0094,0.00182,Netherlands,52.37,4.89
86,Sumitomo Electric Ind,JP,Automobiles & Components,12260,0.0086,0.00147,Japan,35.69,139.69
9,Samsung Electronics C,KR,Technology Hardware & Equipm,169960,0.0081,0.01309,Korea (Republic of),37.57,126.98
89,EI du Pont de Nemour,US,Materials,55610,0.0075,0.0014,United States of America,38.9,-77.04
56,JX Holdings Inc,JP,Energy,10610,0.0039,0.0028,Japan,35.69,139.69
76,Panasonic Corp,JP,Consumer Durables & Apparel,33470,0.0038,0.00182,Japan,35.69,139.69
92,Hitachi Ltd,JP,Technology Hardware & Equipm,31400,0.0022,0.00133,Japan,35.69,139.69
